,player,team,game,points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0,James_Ennis III,Orlando Magic,8133,,,,,,,,,,,,,,,,,,,,,,DNP - Injury / Illness
1,James_Ennis III,Orlando Magic,8145,,,,,,,,,,,,,,,,,,,,,,DND - Injury / Illness
2,James_Ennis III,Orlando Magic,8164,,,,,,,,,,,,,,,,,,,,,,DNP - Injury / Illness
3,James_Ennis III,Orlando Magic,7506,,,,,,,,,,,,,,,,,,,,,,DNP - Injury / Illness
4,James_Ennis III,Orlando Magic,8289,6.0,,16:06,2.0,3.0,66.7,2.0,2.0,100,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,10,
5,James_Ennis III,Orlando Magic,8308,6.0,SF,19:54,2.0,7.0,28.6,2.0,2.0,100,0.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,-7,
6,James_Ennis III,Orlando Magic,8320,4.0,SF,20:39,2.0,5.0,40.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,-6,
7,James_Ennis III,Orlando Magic,8332,3.0,SF,15:21,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,7,
8,James_Ennis III,Orlando Magic,8361,2.0,SF,14:34,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-5,
9,James_Ennis III,Orlando Magic,8371,2.0,SF,14:10,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,1,
10,James_Ennis III,Orlando Magic,7711,5.0,SF,24:17,2.0,6.0,33.3,0.0,0.0,0.0,1.0,4.0,25.0,0.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,9,
11,James_Ennis III,Orlando Magic,7729,5.0,SF,27:37,2.0,4.0,50.0,0.0,0.0,0.0,1.0,1.0,100,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,15,
12,James_Ennis III,Orlando Magic,7739,9.0,SF,27:59,4.0,7.0,57.1,0.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,5.0,2.0,2.0,0.0,1.0,0.0,0,
13,James_Ennis III,Orlando Magic,7760,8.0,SF,21:30,3.0,7.0,42.9,0.0,0.0,0.0,2.0,2.0,100,3.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,10,
14,James_Ennis III,Orlando Magic,7767,0.0,SF,13:54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,14,
15,James_Ennis III,Orlando Magic,7781,8.0,SF,19:15,3.0,4.0,75.0,1.0,2.0,50.0,1.0,1.0,100,0.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,-15,
16,James_Ennis III,Orlando Magic,7797,6.0,SF,18:23,2.0,2.0,100,0.0,0.0,0.0,2.0,2.0,100,1.0,4.0,5.0,1.0,1.0,2.0,2.0,0.0,-18,
